question_id,set_id,set_title,question_order,prompt,sentence_template,blank_count,options_text,correct_order_text,distractors_text,final_sentence,grammar_tags_text
202601-0121-1-Q01,202601-0121-1,1.21 - 1,1,I saw a job posting for a part-time position at the student bookstore.,______ ______ ______ ______ ______ yet?,5,"[""for"", ""you"", ""have"", ""it"", ""applied""]","[""have"", ""you"", ""applied"", ""for"", ""it""]",[],Have you applied for it yet?,[]
202601-0121-1-Q02,202601-0121-1,1.21 - 1,2,I'm thinking of applying for a scholarship.,______ ______ ______ ______ ______ ______?,6,"[""application"", ""started"", ""you"", ""have"", ""the"", ""process""]","[""have"", ""you"", ""started"", ""the"", ""application"", ""process""]",[],Have you started the application process?,[]
202601-0121-1-Q03,202601-0121-1,1.21 - 1,3,Hannah mentioned the upcoming research conference in her email.,______ ______ know ______ ______ ______ ______?,6,"[""the schedule"", ""do"", ""if"", ""she"", ""you"", ""included""]","[""do"", ""you"", ""if"", ""she"", ""included"", ""the schedule""]",[],Do you know if she included the schedule?,[]
202601-0121-1-Q04,202601-0121-1,1.21 - 1,4,I have a meeting with my advisor this afternoon.,______ ______ you ______ ______?,4,"[""what"", ""discussing"", ""be"", ""will""]","[""what"", ""will"", ""be"", ""discussing""]",[],What will you be discussing?,[]
202601-0121-1-Q05,202601-0121-1,1.21 - 1,5,I need to finish my essay by Friday.,______ ______ are ______ ______ ______?,5,"[""writing"", ""you"", ""about"", ""topic"", ""what""]","[""what"", ""topic"", ""you"", ""writing"", ""about""]",[],What topic are you writing about?,[]
202601-0121-1-Q06,202601-0121-1,1.21 - 1,6,Tomorrow is the big game between our school and the rival team.,______ ______ does ______ ______ ______?,5,"[""the"", ""what"", ""game"", ""start"", ""time""]","[""what"", ""time"", ""the"", ""game"", ""start""]",[],What time does the game start?,[]
202601-0121-1-Q07,202601-0121-1,1.21 - 1,7,Did you finish the assignment on time?,______ ______ ______ ______ ______ ______ ______ the deadline.,7,"[""not"", ""it"", ""before"", ""to complete"", ""able"", ""was"", ""I""]","[""I"", ""was"", ""not"", ""able"", ""to complete"", ""it"", ""before""]",[],I was not able to complete it before the deadline.,[]
202601-0121-1-Q08,202601-0121-1,1.21 - 1,8,The assignment deadline has been extended.,Do ______ ______ ______ ______ ______ ______?,6,"[""the new"", ""due date"", ""know"", ""has been announced"", ""you"", ""if""]","[""you"", ""know"", ""if"", ""the new"", ""due date"", ""has been announced""]",[],Do you know if the new due date has been announced?,[]
202601-0121-1-Q09,202601-0121-1,1.21 - 1,9,Did you get a chance to review the report?,"Sorry, but I ______ ______ ______ ______ ______ ______ ______ yet.",7,"[""to look"", ""not"", ""at"", ""time"", ""have"", ""had"", ""it""]","[""have"", ""not"", ""had"", ""time"", ""to look"", ""at"", ""it""]",[],"Sorry, but I have not had time to look at it yet.",[]
202601-0121-1-Q10,202601-0121-1,1.21 - 1,10,Why aren't you attending the conference?,The dates ______ ______ ______ ______ ______ ______.,6,"[""it"", ""conflict with"", ""other commitments"", ""when"", ""is scheduled"", ""my""]","[""when"", ""it"", ""is scheduled"", ""conflict with"", ""my"", ""other commitments""]",[],The dates when it is scheduled conflict with my other commitments.,[]
202601-0121-2-Q01,202601-0121-2,1.21 - 2,1,Why are you using that laptop?,______ ______ ______ ______ ______ ______ project.,6,"[""it's the"", ""my"", ""software that I"", ""need for"", ""one that"", ""has the""]","[""it's the"", ""one that"", ""has the"", ""software that I"", ""need for"", ""my""]",[],It's the one that has the software that I need for my project.,[]
202601-0121-2-Q02,202601-0121-2,1.21 - 2,2,Which backpack did you buy?,I bought the one ______ ______ ______ ______ ______.,5,"[""charger"", ""that"", ""built-in"", ""a"", ""what"", ""has""]","[""that"", ""has"", ""a"", ""built-in"", ""charger""]","[""what""]",I bought the one that has a built-in charger.,[]
202601-0121-2-Q03,202601-0121-2,1.21 - 2,3,The library will be closed for renovations next week.,Can you ______ ______ ______ ______ ______ ______?,6,"[""the month"", ""of"", ""will reopen by"", ""the end"", ""whether it"", ""tell me""]","[""tell me"", ""whether it"", ""will reopen by"", ""the end"", ""of"", ""the month""]",[],Can you tell me whether it will reopen by the end of the month?,[]
202601-0121-2-Q04,202601-0121-2,1.21 - 2,4,I have to finish this report by tomorrow.,______ ______ ______ ______ ______ ______ ______ the report?,7,"[""are"", ""edit"", ""to"", ""time"", ""you"", ""have"", ""going to""]","[""are"", ""you"", ""going to"", ""have"", ""time"", ""to"", ""edit""]",[],Are you going to have time to edit the report?,[]
202601-0121-2-Q05,202601-0121-2,1.21 - 2,5,Are you attending the networking event tonight?,______ ______ ______ usually ______ ______ ______ ______.,7,"[""am"", ""not"", ""to"", ""those"", ""I"", ""do"", ""events"", ""go""]","[""I"", ""do"", ""not"", ""go"", ""to"", ""those"", ""events""]","[""am""]",I do not usually go to those events.,[]
202601-0121-2-Q06,202601-0121-2,1.21 - 2,6,Have you thought about joining the debate club?,"______ decided ______, ______ ______ ______.",5,"[""yet"", ""interesting"", ""does sound"", ""but it"", ""I haven't""]","[""I haven't"", ""yet"", ""but it"", ""does sound"", ""interesting""]",[],"I haven't decided yet, but it does sound interesting.",[]
202601-0121-2-Q07,202601-0121-2,1.21 - 2,7,Are you finished with the training course?,______ ______ ______ ______ ______ ______ yet.,6,"[""I"", ""not"", ""completed"", ""have"", ""all"", ""never"", ""the modules""]","[""I"", ""have"", ""not"", ""completed"", ""all"", ""the modules""]","[""never""]",I have not completed all the modules yet.,[]
202601-0121-2-Q08,202601-0121-2,1.21 - 2,8,Did you go to the library today?,"Unfortunately, ______ ______ ______ ______ ______ ______ ______.",7,"[""a visit"", ""did"", ""had"", ""time"", ""I"", ""have"", ""not"", ""for""]","[""I"", ""did"", ""not"", ""have"", ""time"", ""for"", ""a visit""]","[""had""]","Unfortunately, I did not have time for a visit.",[]
202601-0121-2-Q09,202601-0121-2,1.21 - 2,9,Which internship did you have during the summer?,______ worked ______ ______ ______ ______ ______.,6,"[""aimed to reduce"", ""carbon emissions"", ""I"", ""that"", ""with"", ""a company""]","[""I"", ""with"", ""a company"", ""that"", ""aimed to reduce"", ""carbon emissions""]",[],I worked with a company that aimed to reduce carbon emissions.,[]
202601-0121-2-Q10,202601-0121-2,1.21 - 2,10,Who won the university's cricket match last night?,______ ______ ______ ______ ______ ______ ______ yet.,7,"[""the"", ""I"", ""checked"", ""score"", ""final"", ""haven't"", ""of the game""]","[""I"", ""haven't"", ""checked"", ""the"", ""final"", ""score"", ""of the game""]",[],I haven't checked the final score of the game yet.,[]
202601-0121-3-Q01,202601-0121-3,1.21 - 3,1,The professor announced a change in the syllabus.,______ ______ know ______ ______ ______?,5,"[""do"", ""have been updated"", ""the due dates"", ""if"", ""you""]","[""do"", ""you"", ""if"", ""the due dates"", ""have been updated""]",[],Do you know if the due dates have been updated?,[]
202601-0121-3-Q02,202601-0121-3,1.21 - 3,2,The Chemistry Department is hosting a seminar next week.,Can you ______ ______ ______ ______ ______ ______?,6,"[""tell"", ""in-person"", ""whether"", ""will be online or"", ""me"", ""it""]","[""tell"", ""me"", ""whether"", ""it"", ""will be online or"", ""in-person""]",[],Can you tell me whether it will be online or in-person?,[]
202601-0121-3-Q03,202601-0121-3,1.21 - 3,3,Did they discuss the project deadlines in class today?,I ______ ______ ______ ______ ______.,5,"[""morning"", ""this"", ""missed"", ""class"", ""the""]","[""missed"", ""the"", ""class"", ""this"", ""morning""]",[],I missed the class this morning.,[]
202601-0121-3-Q04,202601-0121-3,1.21 - 3,4,The lecture on ancient civilizations was fascinating.,______ aspects ______ ______ ______ ______ ______?,6,"[""what"", ""interesting"", ""find"", ""you"", ""did"", ""most""]","[""what"", ""did"", ""you"", ""find"", ""most"", ""interesting""]",[],What aspects did you find most interesting?,[]
202601-0121-3-Q05,202601-0121-3,1.21 - 3,5,Did you see the email from our professor?,______ haven't ______ ______ ______ ______.,5,"[""any"", ""emails"", ""I"", ""today"", ""received""]","[""I"", ""received"", ""any"", ""emails"", ""today""]",[],I haven't received any emails today.,[]
202601-0121-3-Q06,202601-0121-3,1.21 - 3,6,Why did you choose this university?,______ ______ ______ ______ ______ ______ ______.,7,"[""science"", ""and internships"", ""offers"", ""department"", ""opportunities"", ""the environmental"", ""research""]","[""the environmental"", ""science"", ""department"", ""offers"", ""research"", ""opportunities"", ""and internships""]",[],The environmental science department offers research opportunities and internships.,[]
202601-0121-3-Q07,202601-0121-3,1.21 - 3,7,Why did you pick this topic for your presentation?,I chose ______ ______ ______ ______ ______ ______.,6,"[""the"", ""has"", ""it because"", ""it's the"", ""topic that"", ""new study report""]","[""it because"", ""it's the"", ""topic that"", ""has"", ""the"", ""new study report""]",[],I chose it because it's the topic that has the new study report.,[]
202601-0121-3-Q08,202601-0121-3,1.21 - 3,8,I'm studying in Japan next semester with the semester abroad program.,______ places ______ ______ ______ ______ ______?,6,"[""what"", ""to"", ""do"", ""you"", ""plan"", ""visit""]","[""what"", ""do"", ""you"", ""plan"", ""to"", ""visit""]",[],What places do you plan to visit?,[]
202601-0121-3-Q09,202601-0121-3,1.21 - 3,9,I'm going to the new student art exhibition this weekend.,______ you ______ ______ ______ ______ advance?,5,"[""in"", ""do"", ""need"", ""tickets"", ""to buy""]","[""do"", ""need"", ""to buy"", ""tickets"", ""in""]",[],Do you need to buy tickets in advance?,[]
202601-0121-3-Q10,202601-0121-3,1.21 - 3,10,Why did you choose this university?,______ ______ ______ ______ ______ ______.,6,"[""research facilities"", ""the campus"", ""the"", ""and laboratories"", ""has"", ""best""]","[""the campus"", ""has"", ""the"", ""best"", ""research facilities"", ""and laboratories""]",[],The campus has the best research facilities and laboratories.,[]
202601-0121-4-Q01,202601-0121-4,1.21 - 4,1,The students are organizing a charity run this weekend.,______ you ______ ______ ______ ______ ______?,6,"[""enough volunteers"", ""they"", ""do"", ""know"", ""have"", ""if""]","[""do"", ""know"", ""if"", ""they"", ""have"", ""enough volunteers""]",[],Do you know if they have enough volunteers?,[]
202601-0121-4-Q02,202601-0121-4,1.21 - 4,2,I hear you're thinking of changing your course of study.,That's right. I am ______ ______ ______ ______ ______ ______ ______.,7,"[""sure"", ""to do"", ""not"", ""want"", ""what"", ""I"", ""in the future"", ""why""]","[""not"", ""sure"", ""what"", ""I"", ""want"", ""to do"", ""in the future""]","[""why""]",That's right. I am not sure what I want to do in the future.,[]
202601-0121-4-Q03,202601-0121-4,1.21 - 4,3,What did Julio ask you?,He ______ ______ ______ ______ ______ ______ ______.,7,"[""when"", ""be available"", ""to know"", ""to meet"", ""would"", ""wanted"", ""so that"", ""the professor""]","[""wanted"", ""to know"", ""when"", ""the professor"", ""would"", ""be available"", ""to meet""]","[""so that""]",He wanted to know when the professor would be available to meet.,[]
202601-0121-4-Q04,202601-0121-4,1.21 - 4,4,My roommate and I are going to rearrange our dorm room.,______ ______ are ______ ______ ______ ______?,6,"[""to"", ""changes"", ""planning"", ""make"", ""what"", ""you""]","[""what"", ""changes"", ""you"", ""planning"", ""to"", ""make""]",[],What changes are you planning to make?,[]
202601-0121-4-Q05,202601-0121-4,1.21 - 4,5,Why didn't you answer your phone?,______ ______ ______ ______ ______ ______.,6,"[""called me"", ""class when"", ""you"", ""was"", ""I"", ""in""]","[""I"", ""was"", ""in"", ""class when"", ""you"", ""called me""]",[],I was in class when you called me.,[]
202601-0121-4-Q06,202601-0121-4,1.21 - 4,6,Which course are you taking next semester?,I'm enrolled ______ ______ ______ ______ advanced ______.,5,"[""in the"", ""mathematics"", ""one"", ""that"", ""covers""]","[""in the"", ""one"", ""that"", ""covers"", ""mathematics""]",[],I'm enrolled in the one that covers advanced mathematics.,[]
202601-0121-4-Q07,202601-0121-4,1.21 - 4,7,Did you find the information you were looking for?,______ ______ ______ ______.,4,"[""it"", ""online"", ""wasn't"", ""available""]","[""it"", ""wasn't"", ""available"", ""online""]",[],It wasn't available online.,[]
202601-0121-4-Q08,202601-0121-4,1.21 - 4,8,I have to write a research paper for my class.,______ the professor ______ ______ ______ ______ ______?,6,"[""assign"", ""did"", ""you"", ""an"", ""topic"", ""to"", ""interesting""]","[""did"", ""assign"", ""you"", ""an"", ""interesting"", ""topic""]","[""to""]",Did the professor assign you an interesting topic?,[]
202601-0121-4-Q09,202601-0121-4,1.21 - 4,9,I have an exam early tomorrow morning.,______ you ______ ______ ______ ______ ______?,6,"[""notes"", ""do"", ""borrow"", ""need"", ""to"", ""my""]","[""do"", ""need"", ""to"", ""borrow"", ""my"", ""notes""]",[],Do you need to borrow my notes?,[]
202601-0121-4-Q10,202601-0121-4,1.21 - 4,10,Did you see the latest episode of the series?,______ it ______ ______ ______ ______ ______.,6,"[""class"", ""late"", ""because"", ""of"", ""a"", ""no, I missed""]","[""no, I missed"", ""because"", ""of"", ""a"", ""late"", ""class""]",[],"No, I missed it because of a late class.",[]
202601-0127-1-Q01,202601-0127-1,1.27,1,Did you finish the assignment before the deadline?,"Unfortunately, ______ ______ ______ ______ ______ ______ ______.",7,"[""to complete"", ""on time"", ""was"", ""I"", ""not"", ""it"", ""able""]","[""I"", ""was"", ""not"", ""able"", ""to complete"", ""it"", ""on time""]",[],"Unfortunately, I was not able to complete it on time.",[]
202601-0127-1-Q02,202601-0127-1,1.27,2,Which college do you want to attend?,My top choice is ______ ______ ______ ______ ______ ______.,6,"[""that"", ""offers"", ""the best"", ""engineering"", ""program"", ""the one""]","[""the one"", ""that"", ""offers"", ""the best"", ""engineering"", ""program""]",[],My top choice is the one that offers the best engineering program.,[]
202601-0127-1-Q03,202601-0127-1,1.27,3,Where did you get that information?,______ read it ______ ______ ______ ______ ______.,6,"[""in"", ""that"", ""was"", ""the research paper"", ""published last week"", ""I""]","[""I"", ""in"", ""the research paper"", ""that"", ""was"", ""published last week""]",[],I read it in the research paper that was published last week.,[]
202601-0127-1-Q04,202601-0127-1,1.27,4,Are you going to the new cafe for lunch today?,"Sorry, but ______ ______ ______ time ______ ______ ______ if I did.",6,"[""complete"", ""destroyed"", ""my assignments"", ""I"", ""wouldn't have"", ""enough"", ""to""]","[""I"", ""wouldn't have"", ""enough"", ""to"", ""complete"", ""my assignments""]","[""destroyed""]","Sorry, but I wouldn't have enough time to complete my assignments if I did.",[]
202601-0127-1-Q05,202601-0127-1,1.27,5,Why did you choose that university?,My teacher ______ ______ ______ ______ ______ ______ ______.,7,"[""interest"", ""the most"", ""that"", ""me"", ""suggested"", ""the school"", ""would""]","[""suggested"", ""that"", ""the school"", ""would"", ""interest"", ""me"", ""the most""]",[],My teacher suggested that the school would interest me the most.,[]
202601-0127-1-Q06,202601-0127-1,1.27,6,How was your semester abroad in Italy?,______ ______ ______ were ______.,4,"[""the places"", ""visited"", ""we"", ""breathtaking""]","[""the places"", ""we"", ""visited"", ""breathtaking""]",[],The places we visited were breathtaking.,[]
202601-0127-1-Q07,202601-0127-1,1.27,7,Are you planning to join us for the study group tonight?,______ ______ ______ ______ ______ ______ ______.,7,"[""make"", ""to"", ""I don't think"", ""able"", ""be"", ""it"", ""I'll""]","[""I don't think"", ""I'll"", ""be"", ""able"", ""to"", ""make"", ""it""]",[],I don't think I'll be able to make it.,[]
202601-0127-1-Q08,202601-0127-1,1.27,8,Do you plan to attend the workshop on Saturday?,"Unfortunately, ______ ______ have ______ ______ ______.",5,"[""I"", ""free time"", ""this weekend"", ""no"", ""am"", ""will""]","[""I"", ""will"", ""no"", ""free time"", ""this weekend""]","[""am""]","Unfortunately, I will have no free time this weekend.",[]
202601-0127-1-Q09,202601-0127-1,1.27,9,I need to study for my final exams next week.,______ ______ ______ ______ ______ will be ______?,6,"[""the questions"", ""difficult"", ""think"", ""you"", ""that"", ""do""]","[""do"", ""you"", ""think"", ""that"", ""the questions"", ""difficult""]",[],Do you think that the questions will be difficult?,[]
202601-0127-1-Q10,202601-0127-1,1.27,10,Did you attend the team-building exercise last weekend?,______ ______ ______ ______ ______.,5,"[""able"", ""participate"", ""to"", ""wasn't"", ""I""]","[""I"", ""wasn't"", ""able"", ""to"", ""participate""]",[],I wasn't able to participate.,[]
202601-0128-1-Q01,202601-0128-1,1.28,1,My parents are coming to visit for family weekend.,______ ______ will ______ ______ ______?,5,"[""be"", ""long"", ""staying"", ""they"", ""how""]","[""how"", ""long"", ""they"", ""be"", ""staying""]",[],How long will they be staying?,[]
202601-0128-1-Q02,202601-0128-1,1.28,2,Is your friend coming to class?,"______, ______ has ______ ______ ______.",5,"[""an appointment"", ""she"", ""that time"", ""at"", ""no""]","[""no"", ""she"", ""an appointment"", ""at"", ""that time""]",[],"No, she has an appointment at that time.",[]
202601-0128-1-Q03,202601-0128-1,1.28,3,Did you remember to bring the textbooks?,______ ______ ______ ______ ______ ______.,6,"[""me"", ""I"", ""with"", ""them"", ""bring"", ""didn't""]","[""I"", ""didn't"", ""bring"", ""them"", ""with"", ""me""]",[],I didn't bring them with me.,[]
202601-0128-1-Q04,202601-0128-1,1.28,4,Did you finish your homework?,"No, I ______ ______ ______ ______ ______ ______ yet.",6,"[""to complete"", ""time"", ""not"", ""have"", ""none"", ""had"", ""it""]","[""have"", ""not"", ""had"", ""time"", ""to complete"", ""it""]","[""none""]","No, I have not had time to complete it yet.",[]
202601-0128-1-Q05,202601-0128-1,1.28,5,Why didn't you attend the workshop yesterday?,My morning class ended ______ ______ ______ ______ ______ ______.,6,"[""me"", ""late"", ""to attend"", ""the workshop"", ""too"", ""for""]","[""too"", ""late"", ""for"", ""me"", ""to attend"", ""the workshop""]",[],My morning class ended too late for me to attend the workshop.,[]
202601-0128-1-Q06,202601-0128-1,1.28,6,Did you attend the conference last week?,"Unfortunately, ______ ______ ______ ______ ______ ______.",6,"[""I"", ""able"", ""to get"", ""did"", ""never"", ""there"", ""was""]","[""I"", ""was"", ""never"", ""able"", ""to get"", ""there""]","[""did""]","Unfortunately, I was never able to get there.",[]
202601-0128-1-Q07,202601-0128-1,1.28,7,Are there any books you would recommend?,______ ______ I just read ______ ______ ______.,5,"[""insightful"", ""was"", ""the book"", ""that"", ""very""]","[""the book"", ""that"", ""was"", ""very"", ""insightful""]",[],The book that I just read was very insightful.,[]
202601-0128-1-Q08,202601-0128-1,1.28,8,Why didn't you attend the seminar?,______ ______ ______ for today conflicted ______ ______.,5,"[""my other commitments"", ""was scheduled"", ""the seminar"", ""with"", ""that""]","[""the seminar"", ""that"", ""was scheduled"", ""with"", ""my other commitments""]",[],The seminar that was scheduled for today conflicted with my other commitments.,[]
202601-0128-1-Q09,202601-0128-1,1.28,9,Where did you put the class notes?,______ ______ in the drawer ______ ______ ______ ______ ______.,7,"[""I"", ""when"", ""textbooks"", ""where"", ""they"", ""keep"", ""are"", ""the""]","[""they"", ""are"", ""where"", ""I"", ""keep"", ""the"", ""textbooks""]","[""when""]",They are in the drawer where I keep the textbooks.,[]
202601-0128-1-Q10,202601-0128-1,1.28,10,Why did Mr. Joshi want to see you after class?,He ______ ______ ______ ______ ______ ______ ______.,7,"[""planning"", ""study"", ""where"", ""next year"", ""didn't know"", ""I"", ""to study"", ""was""]","[""didn't know"", ""where"", ""I"", ""was"", ""planning"", ""to study"", ""next year""]","[""study""]",He didn't know where I was planning to study next year.,[]
